json_line_no	url	text	line_id
0	http://catalog.anselm.edu/preview_course_nopop.php?catoid=2&coid=1645	This course examines the historical contributions of women to the thought and practice of the Catholic religion from New Testament to modern times. Lectures and readings in primary texts examine women’s involvement in early Christian martyrdom, in monasticism, ministry, and Church reform, as well as women’s contributions in the areas of doctrine and spirituality. Figures studied have included Perpetua of Carthage, Hildegard of Bingen, Catherine of Siena, Teresa of Avila, Teresa of Lisieux, and Mother Teresa of Calcutta.	1
1	http://dailybreeze.readerschoice.la/best-urgent-care/providence-little-company-of-mary/	Providence Little Company of Mary Medical Centers San Pedro and Torrance provide the full spectrum of care from birth through the golden years. While each has its own unique character, both hospitals have stellar reputations for providing the South Bay community with clinical excellence, sophisticated technology and care with a personal touch.	2
1	http://dailybreeze.readerschoice.la/best-urgent-care/providence-little-company-of-mary/	In addition to the finest general medical, surgical and critical care services, the medical centers offer a number of specialty programs. Serving the community since 1960, Providence Little Company of Mary Medical Center Torrance offers minimally invasive surgical options using the advanced da Vinci® robotic surgery system; a cardiovascular center of excellence that features advanced cardiac catheterization and angiography equipment, making coronary angioplasty and open heart surgery available around the clock. It also houses a state-of-the-art maternity unit, complete with the county’s first single-family level III neonatal intensive care unit to enhance parent-child bonding for even the most fragile of infants, as well as an on-site perinatal center that provides complete fetal diagnostic testing and genetic counseling.	3
1	http://dailybreeze.readerschoice.la/best-urgent-care/providence-little-company-of-mary/	For over 90 years, Providence Little Company of Mary Medical Center San Pedro has been a landmark, serving the community’s needs with invaluable clinical services. In addition to establishing the South Bay’s first Primary Stroke Center, the hospital offers specialty services such as chemical dependency and advanced rehabilitation therapy. The hospital’s Sub Acute Care Center is one of California’s largest sub-acute facilities, while the Center for Optimal Aging provides compassionate care for the elderly.	4
1	http://dailybreeze.readerschoice.la/best-urgent-care/providence-little-company-of-mary/	In addition to offering advanced services and technology, both medical centers have received several accolades and national recognition. Providence Little Company of Mary Medical Center in Torrance was named a World’s Best Hospital by Newsweek two years in a row, and was recognized by U.S. News & World Report as one of California’s best hospitals. In addition, we were selected two years in a row by Modern Healthcare as a Best Place to Work in Healthcare. Finally, since 2017, Leapfrog Group, a National Patient Safety advocacy group, acknowledged both San Pedro and Torrance medical centers with the highest ranking of an “A” for safety.	5
3	http://economics-4hfa-2020.bergheidenproject-1-21cs.at/basics/	Economics are many different things. It is the division of labour which means that each worker is specialised and due to the specialisation more productive. Economics is also the supply and demand. A part of it is the work market were the unemployed can get jobs and the employed can specialise themselves or attend further training. It is the value of money and the way it can change in form of inflation or deflation. Economics shows that there are also other means of exchange. Economics is also the human development and the development of what we prefer to buy. It describes how the different types of markets work. Sustainable shops and sustainable production are also a part of economics, which are getting more and more important because of the current situation of climate change. Another part are the needs of human, there is the Maslow pyramid which actually is not true because the needs of everyone are unique. All in all you can say that economics is very divers.	6
3	http://economics-4hfa-2020.bergheidenproject-1-21cs.at/basics/	Economics has two main streams that are called Microeconomics and Macroeconomics. Micro deals with customer behavior, incentives, pricing, etc. Macro deals with broad economies and larger things such as interest rates and the Gross Domestic Product (GDP).	7
3	http://economics-4hfa-2020.bergheidenproject-1-21cs.at/basics/	The Supply and demand principle is a well-known principle of economic theory. Demand is the amount of a good that will be bought at given prices over a period of time. Supply is the amount of a good that sellers are prepared to sell at a given price. The more people want something, the higher the demand is for it and the more they will value it. As an example: if something is in low supply but in high demand the value is increased, as it will decrease if there is a low demand for that item.	8
3	http://economics-4hfa-2020.bergheidenproject-1-21cs.at/basics/	The business cycle is the natural rise and fall of economic growth that occurs over time. The cycle is a useful tool for analyzing the economy. It can also help you make better financial decisions.	9
3	http://economics-4hfa-2020.bergheidenproject-1-21cs.at/basics/	Especially during the current situation, you may have heard of the terms inflation and deflation. Inflation is the increase in the price of goods and services. When the overall price level decreases so that inflation rate becomes negative, it is called deflation.	10
