json_line_no	url	text	line_id
3	https://nano-dr.ru/pryamaya-proektsiya-tazobedrennogo-sustava/	Тема сегодняшней статьи: Прямая проекция тазобедренного сустава. Мы постарались описать все с различных точек зрения и подвести итог. Если есть какие-нибудь дополнения или возражения, вы можете описать это в комментариях.	1
3	https://nano-dr.ru/pryamaya-proektsiya-tazobedrennogo-sustava/	Исследование назначается с учетом указанных моментов. В течение всей процедуры пациент находится под наблюдением врача-рентгенолога, чтобы предотвратить любые нежелательные явления.[3]	2
4	http://gazeta31.ru/news-172/	«Ночной волк» из Москвы посетил Белгородскую область в рамках всероссийского мотопробега на квадроцикле | Полезная газета. Рекламно-информационное издание в Шебекино и Шебекинском районе.	3
4	http://gazeta31.ru/news-172/	«Ночной волк» из Москвы посетил Белгородскую область в рамках всероссийского мотопробега на квадроцикле 03 марта 2015, 18:54 | 809	4
8	https://mo-72.spb.ru/news-173676-glava-rossijskoj-akademii-obrazovaniya-ushel-v-otstavku.html	22:00, Февраль 8, 2021 Премьер-министр России Михаил Мишустин освободил от должности президента Российской академии образования (РАО) Юрия Зинченко....	5
19	https://www.inopressa.ru/article/23Mar2011/berlinonline/Greenpeace.html	"Эксперт Шнайдер подвергает критике и решение японских властей присвоить катастрофе всего лишь 5-й уровень опасности в первые дни после аварии. ""Это вопрос не стресса, а расчета, - уверен Шнайдер. - Это свидетельствует о том, что кто-то очень заинтересован в том, чтобы намеренно занизить степень угрозы""."	6
38	https://misanec.ru/2022/06/09/%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D1%8C-%D1%83%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B0-%D1%83%D0%B1%D0%B8%D0%BB-%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B6%D0%B5%D0%B3%D0%BE-%D1%83%D0%B4%D0%B0/	Заволжский районный суд приговорил жителя Ульяновска к девяти годам лишения свободы в колонии строгого режима. Мужчина признан виновным в умышленном причинении тяжкого вреда здоровью, которое повлекло смерть потерпевшего.	7
38	https://misanec.ru/2022/06/09/%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D1%8C-%D1%83%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B0-%D1%83%D0%B1%D0%B8%D0%BB-%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B6%D0%B5%D0%B3%D0%BE-%D1%83%D0%B4%D0%B0/	20 сентября 2021 года около дома на улице Жуковского 41-летний осужденный, находясь в состоянии алкогольного опьянения, поссорился с ранее незнакомым мужчиной. Конфликт перерос в поножовщину: злоумышленник один раз ударил в бедро потерпевшего. Последний спустя час скончался в больнице.	8
39	https://rostov.vital.ru/catalog/shkolnaya_mebel/mebel_dlya_aktovykh_zalov_i_khollov/banketki1/	Заказать банкетки другие предметы мебели и оборудования для школьных и офисных помещений в Ростове-на-Дону вы можете на сайте или по телефону.	9
40	https://crystalpools.ru/portfolio/detskiy-basseyn-dlya-samykh-malenkikh-/	Детский бассейн «Для самых маленьких» - Фотогалерея наших работа | Портфолио компании «CrystalPools»	10
44	https://www.mk.ru/photo/gallery/5802-91215.html	Эти люди знают о существовании современной цивилизации, но предпочитают до сих пор жить фактически в каменном веке. Единственное сложное техническое устройство, позаимствованное ими у продвинутых инородцев, — это автомат Калашникова, а фирменное «ноу-хау» — специфические росписи на теле...	11
48	https://trkodeks.ru/stat/tk-glava-53/statia-340/	Главная — ГЛАВА 53. ОСОБЕННОСТИ РЕГУЛИРОВАНИЯ ТРУДА РАБОТНИКОВ, НАПРАВЛЯЕМЫХ НА РАБОТУ В ДИПЛОМАТИЧЕСКИЕ ПРЕДСТАВИТЕЛЬСТВА И КОНСУЛЬСКИЕ УЧРЕЖДЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ, А ТАКЖЕ В ПРЕДСТАВИТЕЛЬСТВА ФЕДЕРАЛЬНЫХ ОРГАНОВ ИСПОЛНИТЕЛЬНОЙ ВЛАСТИ И ГОСУДАРСТВЕННЫХ УЧ - ст 340 ТК РФ. Гарантии и компенсации работникам, направляемым на работу в представительства Российской Федерации за границей Задать вопрос юристу	12
51	https://www.coinbox.ru/catalog/planshety-i-kassety-standartnye/planshet-228-290-20-mm-na-4-yacheyki-64-210-17-mm/	Данный флокированный планшет придуман для хранения погон, а также может быть использован для коллекционирования каких-то удлиненных предметов.	13
51	https://www.coinbox.ru/catalog/planshety-i-kassety-standartnye/planshet-228-290-20-mm-na-4-yacheyki-64-210-17-mm/	Планшеты для монет, орденов и медалей серии S Планшеты серии S с прямоугольными или квадратными ячейками	14
57	https://svastour.ru/stati/chto-posmotret-v-essentukakh.php	Летом 1977 г. после обильных осадков относительно небольшая горная речка Подкумок вышла из берегов и почти полностью уничтожила головное сооружение ГЭС. 22 декабря 2003 г. в восстановленной гидроэлектростанции состоялось торжественное открытие музея.	15
62	https://domdata.ru/dom/8093034	Многоквартирный дом по адресу: г. Москва, ул. Дмитрия Ульянова, д. 4, к. 1. Общая площадь дома 6384.00 кв.м, построен в 1958 году, 9 этажный, подъездов: 4, лифтов: 4. Серия, тип постройки здания: индивидуальный проект. Тип фундамента: Ленточный. Тип перекрытий: Не заполнено. Материал несущих стен: Кирпич.	16
75	https://naked-science.ru/article/nakedscience/kollektivniy-imunitet?comment=37998	Результаты проведённых исследований можно изучить в статье британского научного журнала Nature. Надеюсь, вы не думаете, что разработ�	17
