json_line_no	url	text	line_id
0	http://einwende.de/2015/01/ddr-fuehrung-und-westen-gemeinsame-sache-bei-kunst-enteignungen/	Ach ja, der Unrechtsstaat DDR: 25 Millionen Mark Devisen pro Jahr hatte er dadurch erlangt, dass er in den 70er und 80er Jahren Kunst und Antiquitäten privater Sammler und Museen veräußerte. Das war nicht rechtens, auch nicht nach DDR-Recht.	1
0	http://einwende.de/2015/01/ddr-fuehrung-und-westen-gemeinsame-sache-bei-kunst-enteignungen/	Die zuständigen Behörden auf Bundes- und Landesebene verfügen, wie eine Telefon-Umfrage ergeben hat, nur über bruchstückhafte Informationen. […] Während in Forschung und Öffentlichkeit der Raubkunst aus der Zeit des Dritten Reichs die notwendige Aufmerksamkeit geschenkt wird, drohen die Schicksale der Kunstsammler aus der DDR in Vergessenheit zu geraten.	2
0	http://einwende.de/2015/01/ddr-fuehrung-und-westen-gemeinsame-sache-bei-kunst-enteignungen/	Zu dumm. Denn das Problem ist nicht etwa, dass die ursprünglichen Eigentümer_innen keinen Anspruch auf Wiedergutmachung hätten — denn den haben sie u.a. über das sogenannte Vermögensgesetz. Das Problem ist, dass die Kunstwerke nicht auffindbar sind. Doch wo sind sie geblieben? Die NZZ weiß: Ohne Käufer kein Verkauf. Und die saßen in der Bundesrepublik, in den Niederlanden, England und der Schweiz:	3
0	http://einwende.de/2015/01/ddr-fuehrung-und-westen-gemeinsame-sache-bei-kunst-enteignungen/	Heerscharen von kunstaffinen Schnäppchenjägern pilgerten in den siebziger und achtziger Jahren nach Ostdeutschland. Auch nachdem die verwerflichen Praktiken öffentlich bekanntgeworden waren, haben sich die Abnehmer, darunter renommierte Auktionshäuser, weiter mit der von der Stasi kontrollierten Kunst und Antiquitäten GmbH eingelassen.	4
0	http://einwende.de/2015/01/ddr-fuehrung-und-westen-gemeinsame-sache-bei-kunst-enteignungen/	Nachdem sich nun die Enteigneten seit Jahren um Rückgabe oder Entschädigung bemühen, kommt ein Gesetzesvorhaben der Bundesländer zur Novellierung des Zivilrechts ins Rollen, denn wie Isabel Pfeiffer-Poensgen, Generalsekretärin der Kulturstiftung, gegenüber der NZZ meint:	5
0	http://einwende.de/2015/01/ddr-fuehrung-und-westen-gemeinsame-sache-bei-kunst-enteignungen/	„Das Thema wurde lange ignoriert. 25 Jahre nach dem Mauerfall ist es an der Zeit, auch dieses Kapitel aufzuarbeiten. Das ist eine Frage der Gerechtigkeit.“	6
0	http://einwende.de/2015/01/ddr-fuehrung-und-westen-gemeinsame-sache-bei-kunst-enteignungen/	Wohl wahr. Allerdings lassen die bundesdeutschen Medien das Thema weiterhin im Dunkeln, erwähnt wurde es nur in einer knappen dpa-Meldung. Denn wir sollen ja bald Wiedervereinigung feiern und den Unrechtsstaat DDR schlecht finden. Da passt ein Westen nicht ins Bild, der Kunstwerke aus der DDR widerrechtlich aufkaufte und bis heute der Wiedergutmachung widerrechtlich aus dem Weg geht.	7
1	http://netzwerk-weiterbildung.info/meldung_volltext.php?si=1&id=5b1e3e9155242&view=&lang=1&akt=grundsaetze	Adult Education Survey erschienen: Studie liefert Erkenntnisse zu Weiterbildungsverhalten in Deutschland seit 1979	8
1	http://netzwerk-weiterbildung.info/meldung_volltext.php?si=1&id=5b1e3e9155242&view=&lang=1&akt=grundsaetze	Jeder zweite Deutsche nimmt mindestens einmal im Jahr an einer Weiterbildung teil. Damit ist die Teilnahmequote an Weiterbildung seit 2012 ungebrochen hoch. Die über 50-Jährigen haben ihre Weiterbildungsbeteiligung in den letzten zehn Jahren sogar noch gesteigert. So das Ergebnis des Adult Education Survey, AES. Grundlage des nun erscheinenden Ergebnisberichts sind mehr als 7.000 Interviews.	9
1	http://netzwerk-weiterbildung.info/meldung_volltext.php?si=1&id=5b1e3e9155242&view=&lang=1&akt=grundsaetze	Die Hälfte aller Deutschen im Alter zwischen 18 und 64 Jahren hat im Jahr 2016 an mindestens einer Weiterbildungsmaßnahme teilgenommen. Der Forschungsverbund AES, dem das DIE angehört, geht darin den zentralen Fragen zum Weiterbildungsverhalten nach: Wer nimmt wie oft und wie lange an Weiterbildung teil – und wer nicht? Welche Voraussetzungen führen zu einer Teilnahme?	10
