json_line_no	url	text	line_id
2	https://www.newsis.com/view/?id=NISX20220527_0001887692	이 드라마는 사회적 인프라가 단절된 공간에서 사망자가 나오면 게임이 종료되는 극한의 설정 속 참가자 8명이 협력과 반목을 거듭하는 이야기를 담는다. 영화 '더 킹'(2017) 한재림 감독이 처음으로 각색·연출하는 온라인동영상서비스(OTT) 시리즈다. 원작은 배진수 작가 웹툰 '파이·머니게임'이다.	1
2	https://www.newsis.com/view/?id=NISX20220527_0001887692	배우 류준열, 박정민, 박해준, 배성우, 문정희, 이열음, 이주영 등도 출연한다. 총 8부작이다. 네이버웹툰 자회사 스튜디오N과 롯데컬처웍스가 만든다. 다음 달 중순 촬영에 들어간다.	2
9	https://theguru.co.kr/news/article.html?no=5878	[더구루=길소연 기자] 에어서울이 또 다시 일본 노선에 칼을 댄다. 일부 저비용항공사(LCC) 위주로 일본 노선 복원 조짐이 일고 있지만, 에어서울은 복원이 아닌 노선 감축을 택했다.	3
11	http://newsteacher.chosun.com/site/data/html_dir/2022/05/11/2022051100005.html	자카나<사진>는 동남아시아·호주·중남미 등에서 살아요. 도요새·뜸부기·물떼새 같은 물새와 비슷하게 생겼지만, 눈에 띄는 특징이 있어요. 몸집에 비해 엄청나게 기다란 발가락과 곧게 뻗은 발톱을 가졌다는 점이에요. 이렇게 큼지막한 발가락 덕에 걸을 때 발에 가는 충격이 분산돼 한결 발걸음을 가볍게 해준대요. 자카나는 주로 연못이나 호숫가에서 살아가는데, 날아다닐 때보다 연잎처럼 물에 떠 있는 물풀 위를 사뿐사뿐 걸어 다닐 때가 더 많거든요.	4
18	https://xn--vf4b27jfqja61l.live/%EC%95%88%EC%A0%84%EB%86%80%EC%9D%B4%ED%84%B0/11/%EB%B2%B3%ED%9E%90	토토사이트 벳힐 에 대해 설명해 드리겠습니다. 메이저급 카지노게임들이 발매중입니다. 에볼루션카지노는 국내에서 최고의 인기를 누리고 있는 온라인카지노 이며 요즘은 케이플레이에서 단독으로 계약을 맺고 한국인딜러를 고용하였습니다. 에볼루션의 진화력은 어디까지 일지 궁금합니다. 벳힐은 최첨단 시스템 토토솔루션을 사용함으로 페이지 로딩속도는 물론 반응형 웹페이지 사용으로 PC나 모바일 어느 버전이나 훌륭한 소화력을 보이고 있습니다. 메이저사이트 벳힐을 이용하실때는 필히 토토사이트.LIVE 저희 페이지에 방문하셔서 정보를 얻으신 후 이용하시길 바랍니다.	5
36	http://cdn.jejusori.net/news/articleView.html?idxno=403101	오는 20일 오후 1시에 아라요양병원에서 열리는 이번 음악회는 흙피리오카리나앙상블(단장 이정순), 장애인어울림 띠앗합창단(단장 박효민), 제주에코색소폰앙상블(단장 현충헌)이 출연한다.	6
59	https://www.kdra.or.kr/website/05web01.php?code=KDRA_news&mode=view&page=1&number=902&keyfield=&key=	"식품의약품안전처에서는 약사법 제18조 규정에 따른 식품의약품안전처장과 보건복지부장관의 자문기구인 ""중앙약사심의위원회"" 위원의 임기가 2022년 8월 6일자로 만료됨에 따라 2년 임기의 차기 위원을 위촉하고자 의·약학 등 다양한 분야의 학식과 경험이 풍부하고 적극적인 참여의사를 가진 적임자를 우리조합으로 추천의뢰 해 온 바, 동 위원회에 참여할 회원사의 적임자를 추천코자 하오니 추천을 희망하시는 조합원사께서는 2022년 4월 28일(목)까지 해당인의 이력서와 직무윤리 사전진단서, 개인정보 제공 동의서가 우리 조합으로 제출될 수 있도록 협조 바랍니다."	7
59	https://www.kdra.or.kr/website/05web01.php?code=KDRA_news&mode=view&page=1&number=902&keyfield=&key=	나. 전문가 추천 방법 : 2022년 4월 28일(목)까지 추천 대상자에 대한 이력서와 직무윤리 사전진단서, 개인정보 제공 동의서(양식 별첨)를 E-mail(shcho@kdra.or.kr)로 송부	8
63	http://tax.csj.ac.kr/bbs/board.php?menu_code=1113&board_id=subject&module=read&cate=&find=&search=&flag=&page=&no=15	종합소득세, 퇴직소득세, 양도소득세 등 소득세에 대한 개념정리 및 종합소득세의 납부에 대한 직무학습을 한다. 본 강좌를 통하여 소득세 과세표준 계산과 세액계산을 할 수 있다. 또한 사업소득의 과목별 세무조정명세서를 작성 능력을 함양하여 사업소득세 신고업무를 할 수 있다.	9
65	https://yongman21.tistory.com/tag/%EB%91%94%EB%8D%95%EB%A7%88%EC%9D%84	슬로푸드 농촌마을, 방문해 보셨나요? 위와 같은 내용을 보신 적 있으신가요?전 예전부터 둔덕마을을 익히 들어서 알고 있었습니다. 아니 정확히 말씀드리면 둔덕마을의 사무장님을 먼저 알았죠. 그 분이 슬로푸드와 슬로농촌, 귀농, 귀촌에 많은 정성을 쏟고 있다는 것 까지만 알고 있었습니다. 오늘 기회가 되어 가족들과 함께 둔덕마을을 방문했습니다.둔덕마을체험관에 위와 같은 표지판이 있더군요. 왠지 믿음이 가는..^^. 둔덕마을은 상당히 조용한 곳이었습니다. 전임 사무장님인 김수한 선생님으로부터 많은 이야기를 들을 수 있었습니다. 현재 둔덕마을에는 30여가구, 60여분의 어르신이 거주중이시고, 이 마을이 농어촌체험휴양마을로 지정이 되어 있는 바, 이 곳을 슬로푸드, 슬로농촌으로 키워보시기 위해 많은 공을 들이고 있었습니다. 둔덕녹색마을 체험관입니다... 더보기	10
79	https://www.itworld.co.kr/news/97755	"애플이여, 제발, 소형 아이폰도 선택할 권리를 달라. 팀 쿡이 ""우리는 화면 크기에 대해 굉장히 고심했으며, 알맞은 것을 골랐다고 믿는다""라고 말한 것처럼, 나도 그의 생각이 맞았다고 믿는다. editor@itworld.co.kr"	11
87	https://lingel.tistory.com/category/%EC%A3%BC%20%EB%A7%90%20%EB%86%8D%20%EC%9E%A5	"그동안 베란다 텃밭만 가꾸다가 영역을 확장해서 주말농장을 임대하였습니다. 면적은 대략 5평 정도 됩니다. 2021년 3월 25일 토양에 양분 보충을 위해 퇴비를 뿌려서 흙과 잘 섞어주는 작업으로 시작합니다. 퇴비를 뿌리고 최소 2~3일은 작물을 심으면 안된다고 합니다. 퇴비에서 나오는 가스가 식물에게 안좋다고 하네요. 구매했던 멀칭비닐과 장인이 만든 호미가 도착했네요. 적당히 구획을 나누어 이랑을 만들어줍니다. 친환경 토양살충제 ""땅벌레뚝""도 뿌려줍니다. 땅에서 서식하는 벌레들이 식물의 뿌리를 해치지 않도록 싫어하는 냄새/성분으로 퇴치해주는 제품입니다. 농약이 아니기때문에 인체나, 식물에게 해가되지 않습니다. 직접 구입/체험한 후기입니다."	12
92	https://kbk518.tistory.com/tag/%EA%B4%80%EB%9E%8C	'폭군' 이제동, '철벽' 김민철 출격! 아프리카TV ASL 시즌8 2주차 진행 아프리카TV 는 오는 7일(일) 과 9일(화) 서울 대치동 프릭업 스튜디오에서 스타크래프트 : 리마스터(StarCraft®: Remastered) 로 진행하는 '아프리카TV 스타리그(AfreecaTV StarCraft League, 이하 ASL)' 시즌8 24강 2주차 경기가 열린다고 밝혔다. 24강 2주차 경기에는 이제동, 김민철, 김성대 등 저그 스페셜리스트들이 출동한다. 7일(일) 펼쳐지는 C조 경기에는 장윤철(P), 서문지훈(Z), 이제동(Z), 김재훈(P) 이 맞붙는다. 시즌8 로 9개월만에 ASL 에 돌아온 '폭군' 이제동이 어떤 경기를 펼칠지 기대가 모인다. 최근 저그전에서 뛰어난 실력을 자랑하는 프로토스 신성 장윤철과 아마추어 최상위권 실력자인 서문지훈의 활약도 주목된다. 이어 9일(화) .. 2019. 7. 5.	13
104	https://tenasia.hankyung.com/topic/article/2021101227214	"공개된 사진에는 일본의 불교 미술장에 방문한 야노시호의 모습이 담겼다. 그는 ""누에고치로 만든 말도 안되게 아름다운 참선 공간""이라고 일본어로 적고 미술작품 안에서 정좌를 틀고 않아 있는 모습을 선보였다. 흐트러짐 없는 자세에 톱 모델의 아우라가 느껴진다."	14
106	https://slowalk.com/tag/%ED%8F%AC%EC%8A%A4%ED%8C%85	슬로워커의 노트! 디자이너의 노트은 많은 것을 담고 있습니다. 작업스케치 뿐 아니라 일정관리, 작업중인 현 작업에 대한 생각들. 디자이너 뿐 아니라 대부분 직종의 사람들이 이러한 형태의 업무노트을 사용하지요. 업무노트은 개인의 개성 또한 고스란히 드러냅니다. 12명의 직원이 일구어 나가고 있는 슬로우워크에서도 개인의 업무노트 작성방식이 다양한 것을 볼 수 있었는데요. 슬로워크의 운영자는, 그리고 디자이너들은 어떠한 생각을, 어떠한 자신만의 작업진행방식을 가지고 있는지 소개해 드리고자 합니다. 디자이너의 노트 김목애 디자이너 디자이너의 노트 권지현 디자이너 디자이너의 노트 황옥연 디자이너 디자이너의 노트 남궁은빈 디자이너 디자이너의 노트 박지원 선임디자이너 디자이너의 노트 강혜진 선임디자이너 관리자의 노트 조성도 디렉터 관..	15
115	https://paxnetnews.com/search?LIKE=%ED%95%98%EC%9D%B4%ED%88%AC%EC%9E%90%EC%A6%9D%EA%B6%8C	사조동아원, '곡물가 호재'에 자사주 팔아 100억 확보 유가증권 상장사인 사조동아원이 세계 곡물가격 상승의 영향으로 주가가 급등한 시점에 보유 자사주를 대량으로 처분해 100억원에 가까운 현금을 확보한 것으로 나타났다. 19일 증권 업계에 따르면 사조동아원은 이날 장전 시간외대량매도(블록딜)를 통해 자기주식 500만주를 처분했다. 회사는 전일 공시를 통해 재무구조 개선을 위해 자기주식을 처분한다고 밝힌 바 있	16
131	https://paxnetnews.com/search?LIKE=%EA%B8%80%EB%A1%9C%EB%B2%8C&page=7	롯데그룹, 유럽 배터리 시장 선점 박차 롯데그룹의 이차전지용 양극박 생산 기지인 유럽 롯데알미늄 공장이 생산 규모를 대폭 늘린다. 신동빈 롯데그룹 회장이 유럽 전기차 배터리 시장 선점을 위해 이곳에 추가 투자를 집행키로 결정한 까닭이다. 22일 롯데그룹은 신 회장이 헝가리 터터바녀 산업단지에 조성된 롯데 클러스터를 방문했다고 밝혔다. 회사에 따르면 신 회장은 클러스터 내 롯데알미늄 공장을 찾	17
139	https://today-korea.com/news/articleList.html?sc_area=I&sc_word=leejo9004&view_type=sm	[Today-korea 이주옥 기자] 신안군(군수 박우량)은 어·패류 서식환경이 좋은 '다이아몬드 제도' 해역에 매년 약25억원의 국가재원을 지원 받아 다양한 인공어초(테트라형, 다면체형 등)를 투하하여 수산생물의 산란과 서식할 수 있는 환경을 인공적으로 조성하는데 최선의 노력을 다하고 있다고 밝혔다.자은-암태-안좌-팔금-장산-신의-하의-도초-비금도 등을 하나의 선으로 연결하면 다이아몬드 모양으로 이 섬들이 묶여 다이아몬드 제도라 불린다.신안군은 최근 노대도, 우세도 등 다이아몬드 제도 해역에 이중돔형(어류형, 240개), 방사형(해조류	18
143	https://www.guard1004.com/tag/%EB%82%98%EB%9D%BC%EC%9E%A5%ED%84%B0	1.조달물품 전문기관 검사제도란? 1) 수요기관이 구매요청 한 조달물자 중 우리청에서 전문기관검사 대상물품으로 지정·공고한 물품에 대하여 일정금액 이상인 경우 검사업무를 위탁받은 국가공인검사기관이 직접검사를 실시하고 결과를 판정하는 제도 2) 전문인력 등이 부족한 수요기관에서 자체 실시하던 납품검사를 외부 전문검사기관에 위탁함으로써 주요 조달물자의 품질을 확보하고 납품검사의 객관성·실효성 제고 2. 대상물품 1) 기계류, 수도관류 등 검사에 전문성을 요하는 물품으로 국민의 안전과 관련되거나 품질 불량시 사회적 비용이 큰 물품 및 다수의 수요기관이 사용하는 물품을 조달청 품질원장이 공고 ('20.1월 현재 1,051개 품명) 2) 세부 품목은 조달청 홈페이지 ⇒ 정보제공 ⇒ 업무별 자료 ⇒ 품질관리 ⇒ 「..	19
148	http://ozaccessory.co.kr/member/join.html	"이 약관은 오즈악세사리 회사(전자상거래 사업자)가 운영하는 오즈악세사리 사이버 몰(이하 ""몰""이라 한다)에서 제공하는 인터넷 관련 서비스(이하 ""서비스""라 한다)를 이용함에 있어 사이버 몰과 이용자의 권리?의무 및 책임사항을 규정함을 목적으로 합니다."	20
