json_line_no	url	text	line_id
5	https://www.ahjsfhglass.com/AJyCugbJwf/xbgk/jrby/index.htm	"爱游戏体育平台(简称""北医"")地处北京市海淀区中关村科技园区海淀园,是中国政府创办的第一所西医院校,是国家""211工程""首批建设的高等学校之一,具有百年历史,集教学、科研、医疗为一体,学科覆盖医学门类中的基础医学、临床医学、口腔医学、药学、公共卫生和预防医学、护理学、医学技术、中西医结合以及理学、工学、教育学、哲学、文学等门类的部分学科。教学贯穿了本科、研究生及继续教育全过程。现有89个博士学位授权点(12个一级学科点,77个二级学科点),95个硕士学位授权点(14个一级学科点,81个二级学科点),9个博士后流动站。"	1
5	https://www.ahjsfhglass.com/AJyCugbJwf/xbgk/jrby/index.htm	"2000年与北京大学合校后,医学部充分利用北京大学综合学科优势,加强交叉融合、助力学科发展,推动医学教育改革与科学研究,努力改善基础设施条件。启动并不断探索临床医学、药学与预防医学学生长学制的培养模式,大力推进医学学科与理科、工科、人文社会学科的交叉,学科实力显著提升,学科布局进一步优化。在教育强国战略、健康中国战略、科技强国战略和创新驱动发展战略等国家战略的大背景下,在""211工程""、""985工程""和""双一流""建设的支持下,北大医学进入了一个新的历史发展阶段,以""临床医学+X""为抓手,在学科建设、人才培养、师资队伍建设、教学科研等各方面都取得了显著成绩,为将北大建设成为世界一流大学奠定了坚实的基础。近年来,北大医学以""四个面向""为指引,以立德树人为根本,聚焦卓越医学人才培养目标,推动新时代官网改革;组织围绕国家重大需求的科技攻关,推动医学多学科交叉协同发展,促进科技创新和成果转化;持续优化医学部和校本部深度融合的顶层设计和实施方案,积极推进医学部与校本部深度融合;抓住历史机遇,着力拓展新空间,挖掘现有空间资源,提升校园文化;围绕""以人民为中心""的办医理念,打造医疗卫生高地。"	2
31	https://zh.wikipedia.org/wiki/%E9%BA%A5%E5%9F%BA%E6%B4%97%E5%BE%B7	"根據希伯來書的作者,引用詩篇110章,說雅威(耶和華)起誓,那個兒子是""照著麥基洗德的等次永遠為祭司""(詩110:4),的角色是一次就完全成就的。所以,其實是110章一開頭說的:「The Word of HASHEM says to adon,sit down Right-hand」裡面提到的這個兒子才是麥基洗德。而不是照著謊言的靈,誤將父當成子,因為魔鬼試圖讓人把聖父當成子,應驗了耶穌說的話。"	3
40	http://www.eruptures.net/contents/90/43560.html	谁有可靠的网赌网站(以下简称交投集团)成立于2008年7月,是自治区人民政府直属国有独资企业。2018年9月与原广西铁路投资集团有限公司实施战略性重组,组建新的广西交通投资集团。交投集团勇担广西交通建设主力军使命,是广西交通建设的主力军、广西产业发展的重要力量及广西产融结合的新典范。截至2021年11月30日,交投集团注册资本301亿元,总资产5301亿元,各层级成员企业337家,其中上市公司1家(五洲交通),企业员工1.5万人,是广西唯一获得3家国内评级机构给予AAA信用评级、第一家获得投资级(穆迪Baa2、惠誉BBB)国际评级的企业。2021年中国企业500强第415位。	4
44	http://www.sunnat.com.cn/about	浙江森拉特暖通设备有限公司(后面简称森拉特)成立于2003年,是集研发、设计、生产、销售于一体的专业采暖设备生产的国家高新技术企业。公司占地5万平方米,拥有金工、抛光、焊接、电镀、喷塑等自主研发生产车间,具有全套的钢、铝、铜及铜铝复合等各类散热器的研发及生产能力,现有员工近500人。	5
62	http://www.hnydsh.cn/news/33.html	"酒鬼酒股份有限公司前身为始建于1956年的吉首酒厂,1997年07月上市,公司股票上市地为深圳证券交易所,证券代码为000799,股票简称""酒鬼酒""。自上市以来,企业不断发展壮大,酒鬼成为""中国驰名商标"",公司曾先后荣获""全国酒文化优秀企业""、全国""五一劳动奖状""、""全国轻工业系统先进集体""、""全国先进集体""、""中国公众形象优秀企业""、""全国质量效益企业""、""全国酿酒行业优秀企业""、""全国酒文化优"	6
77	https://www.physics.sjtu.edu.cn/fandy	"范滇元,男,1939年2月生,汉族,江苏常熟人,学历研究生,研究员,1989年6月加入九三学社,1967年7月参加工作,现任中国工程院院士,中国科学院上海光机所技术委员会主任,""神光Ш""总体技术组总工程师、研究员、博士生导师。"	7
77	https://www.physics.sjtu.edu.cn/fandy	"1956年9月——1962年7月,在北京大学物理系及电子学系无线电物理专业学习。1962年7月——1966年9月,中国科学院电子研究所、上海光机所研究生。1967年9月起历任中国科学院上海光机所研究实习员、助理研究员、副研究员、研究员、博士研究生导师(其间:1980——1987年任中国科学院上海光机所神光—Ι总体技术组成员、激光系统负责人;1989年——2002年任中国科学院上海光机所高功率激光物理联合实验室副主任;1990年——1995年任国家高技术863计划410主题专家组成员;1996年——2001年任国家高技术863计划416主题专家组成员兼总体技术专家组组长;2001年起任国家高技术863计划第八领域专家委员会委员,""神光Ш""装置总体技术组总工程师;1995年6月当选为中国工程院院士)。"	8
77	https://www.physics.sjtu.edu.cn/fandy	范滇元是第八届上海市政协委员、九届常委、十届委员。曾获陈嘉庚奖、中国科学院科技进步特等奖和国家科技进步一等奖。1992年国家突出贡献中青年专家;1996年及2001年全国863计划先进工作者;1997年全国优秀科技工作者;1998年、2000年上海统一战线为两个文明建设服务先进个人。	9
77	https://www.physics.sjtu.edu.cn/fandy	"从事大型激光装置的研制及运行近30年。作为主要技术负责人之一,先后研制成功激光功率为百亿瓦、千亿瓦和万亿瓦的高功率系列钕玻璃激光系统,为建立和发展我国高功率激光事业作出了贡献。其中""激光12号实验装置"",是我国规模最大、国际上为数不多的大型激光工程,输出功率达2万亿瓦。国家鉴定评价为:""综合技术性能达到国际同类装置的先进水平"",""是我国激光技术发展上的一项重大成就,标志着我国已成为在高功率激光领域中具有这种综合研制能力的少数几个国家之一""。作为主持此项工程的总体技术组常务成员,激光器系统负责人,总调式现场指挥和装置运行负责人,在前辈科学家王淦昌、王大珩指导下,在实验室主任邓锡铭院士具体领导下,与数百名科研人员一起,成功地解决了一系列科学技术和工程实用问题,使科研成果转化为能够付之实用的工程设施。此装置连续运行8年,进行惯性约束聚变,X光激光和极高压下状态方程等大量实验研究,取得一批国际先进水平的应用成果。"	10
