json_line_no	url	text	line_id
7	https://archiwum.rp.pl/artykul/66930-Informacje.html	W świecie międzynarodowych finansów spekulowano wczoraj na temat możliwości obniżenia i tak już rekordowo niskiej stopy dyskontowej w Japonii. Możliwości takiej nie wykluczył japoński minister handlu i przemysłu Ryutaro Hashimoto. Z 1, 0 proc. -- jak się przypuszcza -- miałaby ona zostać obniżona -- celem pobudzenia rozwoju gospodarczego -- do zaledwie 0,...	1
11	https://neolithpolska.pl/project/dekoracja-wnetrz/	Minimalna grubość płyty sprawia, iż Neolith® można uznać za architektoniczną skórę. Można ją zastosować bezpośrednio na istniejącej powierzchni, bez potrzeby jej wcześniejszego usuwania, co oznacza oszczędność czasu i pieniędzy na remont.	2
11	https://neolithpolska.pl/project/dekoracja-wnetrz/	Ze względu na swoją trwałość i wyjątkową odporność na środki chemiczne i zużycie, Neolith® jest łatwym w utrzymaniu materiałem, idealnym do zastosowania w miejscach narażonych na duże zużycia, na przykład w restauracjach czy kawiarniach.	3
24	https://www.deutschakademie.de/berlin/alexanderplatz/pl/kurs-online/	DeutschAkademie Berlin Alexanderplatz oferuje kursy niemieckiego online na poziomach A1, A2, B1, B2, C1 i C2. Mamy duży wybór kursów online:	4
25	https://www.polskieradio.pl/raporty/Tag170327	Jak wynika z raportu firmy PWC, dotyczącego przestępczości gospodarczej, nadal jednym z największych problemów polskich firm są nieuczciwi pracownicy. I to ci, którzy po prostu okradają przedsiębiorstwo jak i ci, którzy oszukują jego klientów, lub posługują się przestępczymi metodami w zdobyciu kontraktów. Zobacz więcej na temat: firma przestępczość raporty	5
38	https://www.gospodarz.pl/aktualnosci/ceny-rolnicze/wiadomosci-gieldowe.html	Na krajowych giełdach towarowych w dniach od 29 maja do 5 czerwca bieżącego roku ceny zbóż względem poprzedniego tygodnia zmalały.	6
43	https://druga-strona-medalu.pl/tag/poligrafia/	Poligrafią nazywamy dziedzinę techniczną, która zajmuje się procesem powstawania oraz powielania druków. A więc dzięki poligrafii istnieją książki, gazety, czasopisma, broszury czy ulotki. Jej początki sięgają już właściwie do czasów…	7
45	https://www.zielonalazienka.pl/oltens-gulfoss-80105100-wieszak-na-recznik-503675.html	Wieszak dwuramienny. Długość 40 cm, kształt okrągły, materiał mosiądz, kolor chrom. Z zestawem do ukrytego montażu ściennego.	8
81	https://merloo.pl/faq/	FAQ (ang. Frequently Asked Questions) (pl. (CZP) – Często Zadawane Pytania – zbiory często zadawanych pytań i odpowiedzi na nie	9
83	https://icmarket.pl/chemia-budowlana/rodzaje-chemii-budowlanej-wg-materialu/uszczelniacze-kity/wodouszczelniacze.html	Wodouszczelniacze to produkty stosowane w miejscach narażonych na ciągły kontakt z wodą. Oferowane produkty są materiałami opartymi na bazie różnych składników, dzięki czemu umożliwią wybór uszczelniacza, który spełni wszystkie wymagania użytkownika. Dostępne produkty są sprzedawane w formie kartuszy, masy lub suchej mieszanki. Występują w formie jedno- lub dwuskładnikowej.	10
120	https://www.muscle-zone.pl/blog/jaki-probiotyk-jest-najlepszy/	Tak więc, chociaż wilk i mops należą do psowatych, to istnieją oczywiście duże różnice między nimi. To samo dotyczy probiotyków celowanych. Ponieważ większość firm po prostu wymienia Lactobacillus Acidophilus na swoich butelkach bez określenia liczby, oznacza to, że używają tanich szczepów generycznych, których nie można właściwie zidentyfikować, co uniemożliwia oszacowanie ich rzeczywistych korzyści zdrowotnych.	11
133	https://geo-max.eu/polityka-prywatnosci	"Administratorem danych osobowych jest Przedsiębiorca Pan Dariusz Szczeciński, prowadzący działalność gospodarczą pod firmą: ArchiGeo Dariusz Szczeciński, z siedzibą przy: ul. Lipowa 4, 59-500 Złotoryja, NIP: 694-162-38-83 (zwany dalej: ""Właściciel"")."	12
133	https://geo-max.eu/polityka-prywatnosci	w celu prawidłowego wykonania umów sprzedaży zawartych w ramach sklepu internetowego, za pośrednictwem strony internetowej www.geo-max.eu	13
169	https://www.florapoint.pl/kategoria-produktu/homedecor/dom/dekoracje-scienne/zawieszki/	Zawieszki są ciekawą formą dekoracji coraz częściej stosowaną w domach i ogrodach. Możemy je zawiesić zarówno na ścianach, jak i na oknie czy pod sufitem. Wybieramy takie zawieszki, które tworzone są ręcznie ze szczególną starannością.	14
170	http://boryniemodlinskie.pl/387/nabor-2012.html	"Zarząd Województwa Opolskiego na wniosek lokalnej grupy działania (LGD): ""Partnerstwo Borów Niemodlińskich"" – LUDZIE LASU działającej na obszarze gmin: Komprachcice, Prószków, Niemodlin, Tułowice, Strzeleczki, Łambinowice, Dąbrowa informuje o możliwości składania za jej pośrednictwem wniosków o przyznanie pomocy w ramach działania ""Tworzenie i rozwój mikroprzedsiębiorstw"""	15
