json_line_no	url	text	line_id
2	http://www.abhatoo.net.ma/maalama-textuelle/developpement-economique-et-social/developpement-economique/transport/transport-routier/mobilites-quotidiennes-et-numerisation-des-villes-une-information-a-plusieurs-vitesses-lyon-rabat	Mobilités quotidiennes et numérisation des villes : une information à plusieurs vitesses (Lyon, Rabat)	1
2	http://www.abhatoo.net.ma/maalama-textuelle/developpement-economique-et-social/developpement-economique/transport/transport-routier/mobilites-quotidiennes-et-numerisation-des-villes-une-information-a-plusieurs-vitesses-lyon-rabat	(13,24 MB) Mobilités quotidiennes et numérisation des villes une information à plusieurs vitesses (Lyon, Rabat).pdf	2
2	http://www.abhatoo.net.ma/maalama-textuelle/developpement-economique-et-social/developpement-economique/transport/transport-routier/mobilites-quotidiennes-et-numerisation-des-villes-une-information-a-plusieurs-vitesses-lyon-rabat	L’information sur la mobilité constitue une dimension de plus en plus en plus structurante des modes de vie quotidiens, sous l’effet d’une diversification des modes de transports collectifs dans les agglomérations et d’une individualisation des comportements. Ces dynamiques s’appuient depuis une quinzaine d’années sur le développement de sources d’information numérique qui accroissent les possibilités d’information individuelle, multimodale et en temps réel. Souvent envisagée par les pouvoirs publics comme un levier de report modal dans des contextes marqués par des taux d’accès majoritaires à l’automobile, l’information numérique donne cependant lieu à des différences d’appropriation d’ordre sociodémographique et socioéconomique qui peuvent en limiter l’effet. Le manque d’information sur la mobilité pourrait aussi constituer une difficulté supplémentaire d’accès aux ressources urbaines pour des populations modestes et résidant en marge des agglomérations.	3
2	http://www.abhatoo.net.ma/maalama-textuelle/developpement-economique-et-social/developpement-economique/transport/transport-routier/mobilites-quotidiennes-et-numerisation-des-villes-une-information-a-plusieurs-vitesses-lyon-rabat	Nous examinons de façon globale les manières de s’informer sur la mobilité quotidienne dans un contexte de numérisation des sources d’information. Nous étudions pour cela les cas de Lyon et de Rabat, agglomérations porteuses de projets innovants de transport et d’information sur la mobilité, marquées par un fort étalement urbain et caractérisées par de forts taux d’accès à la téléphonie mobile et à Internet, mais aussi diverses en termes de systèmes de transport collectif, d’accès à l’automobile et de niveaux de vie. On s’appuie sur un travail de terrain constitué d’une enquête par questionnaire et par entretiens conduite dans des territoires contrastés des deux agglomérations.	4
2	http://www.abhatoo.net.ma/maalama-textuelle/developpement-economique-et-social/developpement-economique/transport/transport-routier/mobilites-quotidiennes-et-numerisation-des-villes-une-information-a-plusieurs-vitesses-lyon-rabat	A partir de ce matériau, nous analysons l’impact d’inégalités socio-spatiales sur les pratiques de mobilité et les pratiques numériques conditionnant l’accès et l’utilisation de l’information sur la mobilité. Nous étudions ensuite les pratiques d’information sur la mobilité, en montrant la place particulière des sources numériques au sein des pratiques. Enfin, nous replaçons les pratiques d’information au sein d’un répertoire d’actions des citadins visant à rendre plus fiables leurs déplacements quotidiens. Nous montrons que les pratiques d’information, à travers les pratiques de mobilité et les pratiques numériques, sont structurées par des inégalités socio-spatiales qui affectent l’appropriation et l’utilisation des sources d’information. Nous mettons en évidence la dimension contextuelle des inégalités, avec des facteurs explicatifs différents à Lyon et à Rabat. Les usages de l’information numérique progressent, mais en complétant plutôt qu’en éliminant les pratiques antérieures, avec un fort impact du contexte du déplacement. En replaçant l’information numérique au sein d’un cadre d’action plus large, nous montrons que celui-ci est lui-même déterminé par des inégalités entre les ressources que peuvent consacrer les citadins à fiabiliser leurs déplacements. Dans ce contexte, l’information numérique apparaît comme une piste d’amélioration des conditions de déplacement pour une partie des citadins, mais qui doit être envisagée en complément d’autres moyens d’information et en tenant compte des inégalités socio spatiales qui affectent son utilisation.	5
2	http://www.abhatoo.net.ma/maalama-textuelle/developpement-economique-et-social/developpement-economique/transport/transport-routier/mobilites-quotidiennes-et-numerisation-des-villes-une-information-a-plusieurs-vitesses-lyon-rabat	sthematique ---Sélectionnez Transport aérien Transport de biens Transport de personnes Transport ferroviaire Transport maritime Transport routier Transport-Généralités	6
3	http://www.ruchedusat.com/vb/online.php??s=a8ed5fc772e59a599a9a725953bd4d5f	Vous n'êtes pas connecté ou vous n'avez pas la permission d'accéder à cette page. Il peut y avoir plusieurs raisons à cela :	7
3	http://www.ruchedusat.com/vb/online.php??s=a8ed5fc772e59a599a9a725953bd4d5f	Vous n'avez pas les permissions nécessaires pour accéder à cette page. Tentez-vous d'éditer le message d'un autre utilisateur, d'accéder à des fonctions d'administration ou tout autre système privilégié ?	8
3	http://www.ruchedusat.com/vb/online.php??s=a8ed5fc772e59a599a9a725953bd4d5f	Si vous essayer d'écrire un message, l'administrateur peut avoir désactivé votre compte ou votre compte est peut-être en attente d'activation.	9
5	https://2009sediments.wordpress.com/tag/p-d-james/	Je viens d’achever la lecture de Death comes to Pemberley, de P.D. James, un livre qui est à la fois complètement dans la lignée du vaste catalogue de cet auteur britannique de romans policiers, et tout à fait particulier. Sa parution en français est annoncée pour juin 2012 chez Fayard – annoncée par Amazon, car je n’ai pas pu découvrir sur le site de cet éditeur la moindre trace de ce livre. C’est donc au site de Hachette Canada que j’emprunte le résumé qui suit.	10
