json_line_no	url	text	line_id
0	http://autismocastillayleon.com/que-es-tea/prevalencia/	En España no existe actualmente un registro oficial de casos de TEA, por lo que no conocemos con seguridad el número de casos que hay en nuestro país. Por ello, manejamos las cifras de estudios epidemiológicos realizados otras partes del mundo:	1
0	http://autismocastillayleon.com/que-es-tea/prevalencia/	A nivel Europeo los estudios disponibles que apuntan una prevalencia aproximadamente 1 caso de TEA por cada 100 nacimientos (Autism-Europe aisbl 2015).	2
0	http://autismocastillayleon.com/que-es-tea/prevalencia/	En Estados Unidos el Centro para el Control y Prevención de Enfermedades (CDC) de EE.UU en su último informe publicado en marzo de 2020, estimó una tasa de prevalencia de autismo en 1 de cada 54 nacidos.	3
0	http://autismocastillayleon.com/que-es-tea/prevalencia/	Lo que sí se confirma en todos los estudios es la mayor presencia de TEA en los hombres que en las mujeres (en una proporción de 4:1), y que no existen diferencias en cuanto a su aparición en las distintas culturas o clases sociales.	4
0	http://autismocastillayleon.com/que-es-tea/prevalencia/	Estos estudios han constatado un aumento exponencial de los casos de TEA en el mundo. Este incremento, posiblemente se debe a una mayor precisión de los procedimientos e instrumentos de diagnóstico, a la mejora en el conocimiento y la formación de los profesionales, o ciertamente, a un aumento real de la incidencia de este tipo de trastornos.	5
1	http://cedertietar.es/pueblos.php?op=23	Castaños, pinos, encinas y robles son algunas de las especies de árboles que podemos encontrar. El casco urbano de Sotillo, debido a su espectacular expansión física en los últimos años, ha conservado escasas muestras de sus antiguas características; aun así, se pueden contemplar algunos elementos de interés, como, por ejemplo: La Iglesia Parroquial: Dedicada a la Santísima Trinidad, situada en la zona conocida como el Calvario, la Ermita de Nuestra Señora de los Remedios o la Casa de Cultura (Ayuntamiento viejo) en la que son característicos sus pórticos y su balconada de piedra.	6
5	http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do;jsessionid=E38348D80CD54F32609AB71831CCBE2C?id=219744	APRUEBESE EL PROTOCOLO DE LA RED DE ENSAYOS COMPARATIVOS DE VARIEDADES DE TRIGO (R.E.T.), QUE COMO ANEXO FORMA PARTE INTEGRANTE DE LA PRESENTE RESOLUCION. DEROGUESE LA RESOLUCION Nº 146 DE FECHA 3 DE AGOSTO DE 2004 DEL INSTITUTO NACIONAL DE SEMILLAS, ORGANISMO DESCENTRALIZADO DE LA ORBITA DEL MINISTERIO DE AGRICULTURA, GANADERIA Y PESCA, QUE APROBO EL PROTOCOLO DE LA RED DE ENSAYOS COMPARATIVOS DE VARIEDADES DE TRIGO (R.E.T.).	7
7	http://www.fmtaekwondo.es/2020/01/22/la-federacion-madrilena-de-taekwondo-se-suma-al-manifiesto-tolerancia-cero-contra-la-violencia-en-el-deporte/	Home / Featured / La Federación Madrileña de Taekwondo se suma al Manifiesto «Tolerancia cero contra la Violencia en el Deporte»	8
7	http://www.fmtaekwondo.es/2020/01/22/la-federacion-madrilena-de-taekwondo-se-suma-al-manifiesto-tolerancia-cero-contra-la-violencia-en-el-deporte/	La Federación Madrileña de Taekwondo se suma al Manifiesto «Tolerancia cero contra la Violencia en el Deporte»	9
7	http://www.fmtaekwondo.es/2020/01/22/la-federacion-madrilena-de-taekwondo-se-suma-al-manifiesto-tolerancia-cero-contra-la-violencia-en-el-deporte/	La Federación Madrileña de Taekwondo se suma al manifiesto que ha tenido lugar en el Wizink Center: “Tolerancia 0 contra la Violencia en el Deporte».	10
7	http://www.fmtaekwondo.es/2020/01/22/la-federacion-madrilena-de-taekwondo-se-suma-al-manifiesto-tolerancia-cero-contra-la-violencia-en-el-deporte/	El Vicepresidente de la Comunidad de Madrid, D. Ignacio Aguado, hizo entrega del Manifiesto al Presidente de la Federación Madrileña de Taekwondo, D. Santiago Maroño.	11
7	http://www.fmtaekwondo.es/2020/01/22/la-federacion-madrilena-de-taekwondo-se-suma-al-manifiesto-tolerancia-cero-contra-la-violencia-en-el-deporte/	Siguiente Resolución de depósito en el registro de entidades deportivas de la Comunidad de Madrid del Censo Transitorio del año 2019	12
9	http://www.santaluciagc.com/modules.php?mod=portal&file=ver_gen&id=TkRnMk1RPT0=	El escarpado relieve, la riqueza de vegetación y el paisaje agrícola en completa armonía con el medio, hacen de esta zona de medianías un espacio de gran singularidad paisajística.	13
9	http://www.santaluciagc.com/modules.php?mod=portal&file=ver_gen&id=TkRnMk1RPT0=	Su formación de origen erosivo se debe a las extremadas condiciones climatológicas y a la existencia en el suelo de capas impermeables intercaladas entre coladas.	14
9	http://www.santaluciagc.com/modules.php?mod=portal&file=ver_gen&id=TkRnMk1RPT0=	La vegetación de la zona se basa en matorral de sustitución, el pino canario en las zonas más altas y la palmera canaria.	15
10	https://acomza.com/ley-de-transparencia/	LA ASOCIACION DE COMERCIANTES DE MUEBLES DE ZARAGOZA Y ARAGON (ACOMZA), es una Asociación sin ánimo de lucro, que se rige según lo dispuesto en la Ley 19/1977, de 1 de abril, sobre regulación del derecho de asociación sindical, y su normativa de desarrollo, que asumirá, en principio, la representación y defensa exclusivas de los intereses económicos colectivos de cuantas empresas desarrollen la actividad de Comercio de Muebles del hogar, y de sus complementos; así como la decoración, su instalación y adecuación del espacio en la Comunidad Autónoma de Aragón.	16
10	https://acomza.com/ley-de-transparencia/	Como asociación empresarial que es, tiene como fines los de intervenir en las relaciones laborales, contribuyendo, a la defensa y promoción de los intereses económicos y sociales que le son propios a través de acciones como la negociación colectiva laboral, el planteamiento de conflictos colectivos de trabajo, el diálogo social y la participación institucional en los organismos públicos de las Administraciones Públicas.	17
10	https://acomza.com/ley-de-transparencia/	Actuar en defensa de los intereses de la pequeña y mediana empresa con absoluta independencia de la Administración Pública de cualquier grupo de presión o partido político.	18
10	https://acomza.com/ley-de-transparencia/	Prestar servicios, intervenir y promocionar labores de asesoramiento legal, adopción, difusión o formación en materias de medio ambiente, internacionalización de la actividad empresarial, uso	19
10	https://acomza.com/ley-de-transparencia/	y difusión de nuevas tecnologías, fomento de la igualdad en el trabajo, inmigración y cualquier otra materia de interés para los fines de la Asociación, sus componentes, o la economía en general.	20
10	https://acomza.com/ley-de-transparencia/	Actuar, en lo que la legislación permita, de agente mediador en la resolución o transacción de conflictos civiles, mercantiles, laborales concursales.	21
10	https://acomza.com/ley-de-transparencia/	Favorecer la mejora de la competitividad de las pymes y de los trabajadores, de los empresarios y de los nuevos emprendedores mediante el fomento y participación en labores de formación y mejora empresarial, en políticas activas de empleo, inserción y formación para el empleo e intermediación en el mismo, así como en materia de sanidad e higiene en el trabajo y prevención de riesgos laborales.	22
10	https://acomza.com/ley-de-transparencia/	Los tiempos cambian, tus muebles también. En tiendas Acomza, te asesoramos profesionalmente, transportamos y montamos tus muebles, financiamos tus compras sin intereses. 😊 ¿En qué podemos ayudarte?	23
12	https://actualidad.rt.com/actualidad/453158-reconstruyen-rostro-faraon-egipcio-ramses	Los científicos dieron marcha atrás al reloj y presentaron al gobernante más poderoso del Antiguo Egipto a los 45 y 90 años.	24
12	https://actualidad.rt.com/actualidad/453158-reconstruyen-rostro-faraon-egipcio-ramses	Un proyecto conjunto de expertos de Egipto y Reino Unido ha realizado la primera reconstrucción científica del rostro del faraón Ramsés II, considerado como el más poderoso gobernante egipcio que reinó entre 1279 y 1213 a.C.	25
12	https://actualidad.rt.com/actualidad/453158-reconstruyen-rostro-faraon-egipcio-ramses	El modelo tridimensional se basa en una tomografía computarizada (TC) de su cráneo real. La reconstrucción del rostro se realizó por etapas: la superficie craneal, la estructura muscular, la capa de grasa y finalmente la piel, indica The Times of Israel.	26
12	https://actualidad.rt.com/actualidad/453158-reconstruyen-rostro-faraon-egipcio-ramses	Los expertos encontraron datos sobre el color de los ojos y el cabello, así como de las arrugas y los lunares del faraón, en textos del antiguo Egipto.	27
12	https://actualidad.rt.com/actualidad/453158-reconstruyen-rostro-faraon-egipcio-ramses	"""El software identifica las propiedades de las diversas capas de materiales en el rostro de la momia, como las vendas de lino que lo recubren, y permite desenvolver digitalmente a los faraones"", comentó Sahar Saleem, profesora de radiología de la Universidad de El Cairo y directora del proyecto."	28
12	https://actualidad.rt.com/actualidad/453158-reconstruyen-rostro-faraon-egipcio-ramses	Ramsés II gobernó el Antiguo Egipto durante 66 años y murió a la edad de 90 años, pero los especialistas dieron marcha atrás al reloj, mostrando la probable apariencia que tendría también a sus 45 años.	29
12	https://actualidad.rt.com/actualidad/453158-reconstruyen-rostro-faraon-egipcio-ramses	"Como resultado se obtuvo la imagen de un hombre fuerte con una ""nariz pronunciada"", según un comunicado de Caroline Wilkinson, investigadora del Face Lab en la Universidad John Moores de Liverpool que publicó un video de su trabajo."	30
13	https://agyocan.es/los-lacteos-y-el-embarazo/	El consumo de leche y de otro tipo de lácteos ayuda el crecimiento del feto durante el embarazo, así como en el peso del bebé al nacer, según se recoge en el informe ‘La leche como vehículo de salud en situaciones fisiológicas especiales: mujer gestante’.	31
13	https://agyocan.es/los-lacteos-y-el-embarazo/	En concreto, en este informe, que ha sido elaborado por la Fundación Española de la Nutrición (FEN) junto con la Fundación Iberoamericana de Nutrición (FINUT) y la Sociedad Española de Ginecología y Obstetricia (SEGO), se pone de manifiesto que «la leche y los lácteos tienen un papel muy relevante en la dieta de las embarazadas, ya que aportan proteína de alta calidad nutricional, calcio, vitamina D y vitaminas del grupo B, entre otros nutrientes», ha declarado el presidente de FINUT, Ángel Gil.	32
13	https://agyocan.es/los-lacteos-y-el-embarazo/	La utilización de suplementos nutricionales es «la manera tradicional de tratar de asegurar la ingesta apropiada de algunos micronutrientes cuyos requerimientos son elevados en la mujer gestante», han subrayado los expertos. Esta revisión, además, pone de manifiesto que «la leche puede ser un vehículo óptimo y más natural para desarrollar alimentos fortificados que ayuden a asegurar la ingesta de estos nutrientes claves, que tienen efectos beneficiosos sobre el crecimiento fetal y sobre la salud de la madre y del futuro bebé».	33
13	https://agyocan.es/los-lacteos-y-el-embarazo/	Según han explicado los especialistas, la leche, por sus características físico-químicas y por su facilidad y frecuencia de consumo, es «un vehículo ideal para el enriquecimiento y la fortificación de la dieta con determinados nutrientes, como el calcio, la vitamina D o los ácidos grasos Omega-3».	34
13	https://agyocan.es/los-lacteos-y-el-embarazo/	Además, los estudios con lácteos «fortificados y enriquecidos muestran beneficios» en la salud ósea de la madre y de su hijo, y parece que podrían tener también un impacto positivo en el desarrollo visual y cognitivo del niño.	35
13	https://agyocan.es/los-lacteos-y-el-embarazo/	«Los suplementos nutricionales y los alimentos fortificados o enriquecidos, siempre bajo la supervisión de un profesional sanitario, pueden ser de utilidad para alcanzar las ingestas aumentadas de determinados nutrientes fundamentales para el desarrollo presente y futuro del niño, así como para el mantenimiento de la salud de la madre», ha concluido la Secretaria General de SEGO, María Jesús Cancelo.	36
13	https://agyocan.es/los-lacteos-y-el-embarazo/	PreviousPrevious post:Menoguías | Curso sobre la menopausiaNextNext post:11 consejos para gestionar un embarazo saludable	37
